コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
1301,2021/03,34.7,249197000000,4657000000,80,19.65,0.0,10.0
1332,2021/03,35.6,615044000000,18079000000,9.5,18.4,1.0,7.0
1333,2021/03,26.7,809050000000,16208000000,40,36.59,0.0,2.0
1352,2021/03,16.9,83265000000,1230000000,20,20.93,0.0,10.0
1375,2021/03,25.9,51380000000,7823000000,42,11.68,0.0,0.0
1376,2021/05,45.7,60779093000,1661398000,29,22.89,0.0,3.0
1377,2021/05,83.9,69218000000,9725000000,38,19.28,0.0,6.0
1379,2021/03,54,73889000000,6012000000,60,47.08,0.0,5.0
1380,2021/03,35.7,6417643000,265554000,10,12.26,0.0,10.0
1381,2021/06,85.8,21160000000,3372000000,90,19.78,6.0,10.0
1382,2021/06,59.2,3039041000,106225000,-,-,0.0,4.0
1383,2020/10,19.5,5197096000,-124479000,10,-,0.0,8.0
1384,2021/03,63.5,13060962000,152646000,10,63.7,0.0,1.0
1401,2021/05,73.2,3439594000,243108000,3,8.1,0.0,7.0
1407,2021/08,26,67938000000,10148000000,50,21.68,0.0,1.0
1413,2020/12,29.1,114365044000,6629536000,90,29.88,0.0,7.0
1414,2021/06,82.8,80065000000,15732000000,105.5,40.11,10.0,10.0
1417,2021/03,63.1,463744000000,30129000000,45,18.93,0.0,9.0
1418,2021/02,46.2,14823365000,183463000,4,78.74,0.0,10.0
1419,2021/05,26.1,218092000000,10999000000,100,28.75,4.0,5.0
1420,2021/03,32.2,53487929000,782016000,25,54.04,0.0,7.0
1429,2020/12,47.7,21872218000,1896370000,20,40.89,4.0,7.0
1430,2021/05,36,20919021000,1666068000,38,23.74,0.0,0.0
1431,2021/06,44.3,9404305000,486968000,10.2,28.77,0.0,0.0
1433,2021/01,43,3682864000,124501000,16,92.32,0.0,4.0
1434,2021/08,32.1,9268000000,560000000,14,21.3,4.0,4.0
1436,2021/04,52.9,5990829000,261546000,10,26.75,0.0,1.0
1439,2020/12,32.5,5396615000,29177000,20,-,0.0,0.0
1443,2021/03,57.6,9361193000,1202988000,1,2.18,0.0,2.0
1446,2020/09,40.4,12264654000,421981000,6,32.36,0.0,0.0
1447,2021/03,18.4,22830151000,152439000,-,-,0.0,1.0
1448,2021/03,32.6,77510000000,14000000,15,160.79,0.0,0.0
1450,2021/03,68.2,9011368000,1433847000,68,17.71,0.0,0.0
1451,2021/03,38.6,11632122000,521562000,30,41.89,1.0,1.0
1491,2021/03,79.4,39452935000,273608000,-,-,0.0,10.0
1514,2021/03,88.6,9781000000,-63000000,3,-,0.0,10.0
1515,2021/03,58.9,119159000000,8726000000,100,19.97,0.0,0.0
1518,2021/03,42.8,57378000000,1946000000,50,-,0.0,6.0
1605,2020/12,59,771046000000,248471000000,24,-,0.0,0.0
1662,2021/03,64,240078000000,4192000000,50,-,3.0,3.0
